project_id,project_name,typology_function,typology_form,floors,height,units,gross_floor_area,structural_material,structural_system,foundation_system
prj_001,Solitude_Square,retail,linear,6,58.2,96,170592,mixed,mixed,deep
prj_002,Equinox_Manor,commercial,low_rise,3,29.2,54,131004,concrete,cmu,shallow
prj_003,Meridian_Pavilion,commercial,low_rise,3,29.7,57,113031,concrete,tunnel,shallow
prj_004,Serenade_Court,residential,courtyard,6,59.4,90,178920,concrete,post_tensioned,deep
prj_005,Summit_Court,residential,low_rise,3,30.1,57,135090,mixed,mixed,shallow
prj_006,Riverside_Apartments,commercial,linear,6,62.6,48,113088,concrete,post_tensioned,deep
prj_007,Serenade_Hub,retail,low_rise,3,29.4,51,82059,mixed,mixed,shallow
prj_008,Harbor_Enclave,retail,high_rise,16,167.8,256,521216,steel,steel,piles
prj_009,Prism_Center,commercial,courtyard,8,78.2,160,258400,concrete,cmu,deep
prj_010,Pinnacle_Villas,retail,mid_rise,5,51.2,100,180200,concrete,tunnel,deep
prj_011,Timberland_Residences,mixed_use,linear,7,67.1,126,201222,concrete,tunnel,deep
prj_012,Summit_Heights,commercial,low_rise,4,39.5,60,136260,concrete,post_tensioned,shallow
prj_013,Equinox_Villas,retail,courtyard,5,48.8,65,143585,concrete,cmu,deep
prj_014,Timberland_Gardens,retail,mid_rise,8,81.5,152,347776,concrete,tunnel,deep
prj_015,Riverside_Vista,retail,high_rise,18,175.0,180,358020,steel,steel,piles
prj_016,Beacon_Lofts,retail,linear,8,82.1,160,348800,steel,steel,deep
prj_017,Equinox_Vista,residential,courtyard,8,80.2,104,164216,mixed,mixed,deep
prj_018,Highland_Enclave,commercial,courtyard,6,58.0,96,187392,concrete,tunnel,deep
prj_019,Crestview_Hub,mixed_use,low_rise,4,41.2,60,98100,concrete,post_tensioned,shallow
prj_020,Riverside_Gardens,residential,courtyard,8,81.4,96,215040,concrete,post_tensioned,shallow
prj_021,Harbor_Atrium,commercial,courtyard,5,47.7,65,144105,concrete,tunnel,shallow
prj_022,Solitude_Court,residential,linear,5,48.9,50,114350,concrete,cmu,shallow
prj_023,Equinox_Lofts,mixed_use,high_rise,15,149.2,210,395640,steel,steel,piles
prj_024,Harbor_Manor,commercial,high_rise,10,96.8,160,304320,concrete,cmu,piles
prj_025,Pinnacle_Square,commercial,low_rise,3,31.4,45,98505,wood,mixed,shallow
prj_026,Citadel_Villas,mixed_use,courtyard,8,82.6,88,173448,concrete,post_tensioned,deep
prj_027,Summit_Atrium,residential,low_rise,4,40.5,32,55872,concrete,tunnel,shallow
prj_028,Equinox_Enclave,residential,linear,5,48.7,40,76440,concrete,cmu,deep
prj_029,Northstar_Heights,residential,mid_rise,7,68.1,133,277837,concrete,cmu,deep
prj_030,Bayview_Court,retail,mid_rise,7,72.6,126,256158,concrete,post_tensioned,deep
prj_031,Meridian_Atrium,commercial,linear,8,76.4,104,256256,concrete,post_tensioned,deep
prj_032,Silverline_Terraces,retail,linear,8,77.2,112,189056,steel,steel,deep
prj_033,Pinnacle_Terraces,commercial,high_rise,20,192.9,300,730800,steel,steel,piles
prj_034,Pinnacle_Center,mixed_use,linear,6,59.3,72,122976,concrete,tunnel,shallow
prj_035,Timberland_Estates,retail,low_rise,3,28.7,42,91938,wood,mixed,shallow
prj_036,Pinnacle_Pavilion,residential,low_rise,3,30.9,51,114291,wood,mixed,shallow
prj_037,Oceanview_Atrium,commercial,linear,6,62.2,78,141180,mixed,mixed,deep
prj_038,Northstar_Enclave,commercial,low_rise,4,41.7,76,160968,wood,mixed,shallow
prj_039,Harbor_Square,mixed_use,mid_rise,7,71.9,98,193746,concrete,post_tensioned,deep
prj_040,Beacon_Villas,retail,courtyard,8,79.7,160,358240,concrete,post_tensioned,shallow
prj_041,Ironwood_Pavilion,retail,high_rise,15,143.2,165,372735,steel,steel,piles
prj_042,Harbor_Estates,retail,courtyard,8,78.4,88,161656,concrete,cmu,shallow
prj_043,Urban_Vista,mixed_use,courtyard,7,68.3,105,261345,steel,steel,deep
prj_044,Palisade_Estates,mixed_use,mid_rise,7,67.7,133,273847,concrete,cmu,shallow
prj_045,Summit_Pavilion,residential,courtyard,5,51.7,45,111015,steel,steel,deep
prj_046,Beacon_Apartments,residential,linear,6,62.1,66,103554,steel,steel,deep
prj_047,Riverside_Enclave,mixed_use,high_rise,9,91.1,162,397872,concrete,post_tensioned,piles
prj_048,Summit_Lofts,mixed_use,low_rise,3,30.1,42,63504,concrete,cmu,shallow
prj_049,Crestview_Center,retail,courtyard,7,66.6,133,291270,concrete,tunnel,deep
prj_050,Summit_Terraces,residential,courtyard,6,58.4,102,207978,concrete,post_tensioned,deep
