project_id,employee_id,role_in_project,hours_logged
prj_001,emp_045,drafter,529
prj_001,emp_024,site_inspector,285
prj_001,emp_030,project_manager,506
prj_001,emp_032,architect,514
prj_001,emp_021,designer,478
prj_001,emp_038,drafter,973
prj_002,emp_049,drafter,743
prj_002,emp_004,direction,58
prj_002,emp_003,direction,85
prj_002,emp_007,site_inspector,148
prj_003,emp_011,drafter,125
prj_003,emp_018,site_inspector,221
prj_003,emp_006,drafter,168
prj_004,emp_028,project_manager,431
prj_004,emp_042,drafter,981
prj_004,emp_006,drafter,822
prj_004,emp_046,drafter,531
prj_004,emp_007,site_inspector,130
prj_005,emp_023,project_manager,359
prj_005,emp_021,designer,761
prj_006,emp_005,administration,183
prj_006,emp_034,drafter,242
prj_006,emp_037,drafter,250
prj_006,emp_001,direction,93
prj_006,emp_040,drafter,256
prj_007,emp_021,designer,11
prj_007,emp_009,project_manager,34
prj_007,emp_016,drafter,27
prj_008,emp_014,designer,825
prj_008,emp_034,drafter,702
prj_008,emp_039,drafter,476
prj_008,emp_033,drafter,644
prj_008,emp_013,designer,576
prj_008,emp_026,administration,155
prj_008,emp_019,architect,316
prj_008,emp_042,drafter,534
prj_009,emp_026,administration,288
prj_009,emp_033,drafter,504
prj_009,emp_019,project_manager,306
prj_009,emp_041,drafter,1039
prj_010,emp_035,drafter,440
prj_010,emp_021,designer,869
prj_011,emp_016,drafter,429
prj_011,emp_006,drafter,512
prj_011,emp_028,project_manager,229
prj_011,emp_008,drafter,548
prj_012,emp_023,project_manager,251
prj_012,emp_018,site_inspector,203
prj_012,emp_047,drafter,1027
prj_012,emp_008,architect,537
prj_013,emp_037,drafter,244
prj_013,emp_011,drafter,234
prj_013,emp_024,site_inspector,69
prj_014,emp_016,drafter,499
prj_014,emp_003,architect,636
prj_014,emp_031,project_manager,570
prj_014,emp_024,site_inspector,231
prj_015,emp_018,site_inspector,286
prj_015,emp_005,administration,158
prj_015,emp_037,drafter,164
prj_015,emp_024,site_inspector,103
prj_015,emp_008,architect,122
prj_015,emp_033,drafter,278
prj_015,emp_044,drafter,263
prj_015,emp_004,architect,299
prj_016,emp_010,drafter,464
prj_016,emp_001,direction,97
prj_016,emp_027,project_manager,276
prj_016,emp_002,drafter,1027
prj_016,emp_015,architect,620
prj_017,emp_015,designer,610
prj_017,emp_034,drafter,497
prj_017,emp_027,project_manager,393
prj_017,emp_045,drafter,886
prj_018,emp_016,drafter,254
prj_018,emp_019,project_manager,121
prj_018,emp_017,drafter,301
prj_018,emp_021,designer,96
prj_018,emp_026,administration,163
prj_019,emp_050,drafter,741
prj_019,emp_014,designer,752
prj_019,emp_029,project_manager,481
prj_020,emp_010,drafter,655
prj_020,emp_006,architect,764
prj_020,emp_046,drafter,890
prj_020,emp_016,drafter,481
prj_020,emp_023,project_manager,322
prj_020,emp_026,administration,205
prj_021,emp_006,drafter,423
prj_021,emp_038,drafter,466
prj_021,emp_017,drafter,655
prj_021,emp_005,administration,100
prj_022,emp_028,project_manager,585
prj_022,emp_047,drafter,551
prj_022,emp_026,administration,118
prj_022,emp_032,drafter,679
prj_023,emp_023,project_manager,479
prj_023,emp_036,architect,536
prj_023,emp_031,project_manager,572
prj_023,emp_004,direction,112
prj_023,emp_006,drafter,500
prj_023,emp_018,site_inspector,119
prj_023,emp_025,designer,359
prj_023,emp_009,project_manager,467
prj_023,emp_050,architect,324
prj_024,emp_018,architect,655
prj_024,emp_035,drafter,862
prj_024,emp_048,architect,359
prj_024,emp_004,direction,95
prj_024,emp_049,drafter,862
prj_025,emp_010,drafter,577
prj_025,emp_037,drafter,657
prj_025,emp_013,designer,462
prj_025,emp_032,drafter,661
prj_026,emp_046,drafter,125
prj_026,emp_012,designer,287
prj_026,emp_021,designer,294
prj_026,emp_004,direction,99
prj_026,emp_002,direction,128
prj_026,emp_010,drafter,276
prj_027,emp_021,designer,801
prj_027,emp_012,designer,657
prj_027,emp_046,drafter,764
prj_027,emp_036,drafter,620
prj_028,emp_037,drafter,816
prj_028,emp_026,architect,639
prj_028,emp_050,drafter,516
prj_028,emp_003,direction,96
prj_029,emp_041,drafter,731
prj_029,emp_006,drafter,447
prj_029,emp_046,drafter,346
prj_029,emp_043,drafter,945
prj_029,emp_047,drafter,1007
prj_030,emp_035,drafter,123
prj_030,emp_025,designer,254
prj_030,emp_007,site_inspector,165
prj_030,emp_031,project_manager,137
prj_030,emp_037,drafter,100
prj_030,emp_042,drafter,97
prj_031,emp_046,drafter,99
prj_031,emp_002,drafter,262
prj_031,emp_028,project_manager,202
prj_031,emp_042,drafter,123
prj_031,emp_011,drafter,242
prj_031,emp_039,drafter,146
prj_031,emp_048,drafter,304
prj_032,emp_013,drafter,488
prj_032,emp_007,site_inspector,251
prj_032,emp_002,direction,105
prj_032,emp_014,designer,475
prj_032,emp_011,drafter,656
prj_032,emp_041,drafter,688
prj_032,emp_019,project_manager,519
prj_033,emp_035,drafter,1001
prj_033,emp_027,project_manager,605
prj_033,emp_038,drafter,464
prj_033,emp_015,designer,317
prj_033,emp_036,drafter,1037
prj_033,emp_004,direction,62
prj_033,emp_025,designer,899
prj_033,emp_034,architect,314
prj_034,emp_044,drafter,628
prj_034,emp_028,project_manager,248
prj_034,emp_013,designer,551
prj_034,emp_041,drafter,977
prj_035,emp_045,drafter,732
prj_035,emp_040,drafter,1005
prj_036,emp_007,site_inspector,262
prj_036,emp_037,drafter,187
prj_037,emp_025,designer,428
prj_037,emp_042,drafter,698
prj_037,emp_032,drafter,781
prj_037,emp_037,drafter,997
