project_id,client_id,project_status,contract_date,completion_date,planned_duration_days,actual_duration_days,delay_days,planned_cost,final_cost,sat_timeliness,sat_quality,sat_communication,sat_overall
prj_001,cli_013,completed,2021-06-07,2022-08-21,436,440.0,4.0,25588800,25620637.0,5.0,5.0,5.0,5.0
prj_002,cli_013,completed,2021-10-14,2022-10-05,356,356.0,0.0,29082888,27097175.0,4.0,2.0,3.0,3.0
prj_003,cli_011,in_progress,2024-05-24,,337,,,23284386,,,,,
prj_004,cli_013,completed,2022-10-31,2023-11-04,367,369.0,2.0,37752120,35765475.0,5.0,5.0,5.0,5.0
prj_005,cli_014,completed,2022-01-16,2022-12-21,354,339.0,-15.0,27558360,27992862.0,5.0,1.0,4.0,3.3
prj_006,cli_009,in_progress,2021-11-12,,457,,,24992448,,,,,
prj_007,cli_005,on_hold,2023-03-09,,261,,,14442384,,,,,
prj_008,cli_004,completed,2021-07-07,2022-12-30,542,541.0,-1.0,88085504,82439297.0,4.0,2.0,4.0,3.3
prj_009,cli_015,completed,2024-02-15,2025-06-26,502,497.0,-5.0,50388000,48496923.0,4.0,1.0,5.0,3.3
prj_010,cli_011,completed,2023-02-28,2024-02-22,363,359.0,-4.0,30093400,29751396.0,4.0,2.0,5.0,3.7
prj_011,cli_013,completed,2021-12-14,2023-01-15,395,397.0,2.0,33000408,30610916.0,4.0,4.0,4.0,4.0
prj_012,cli_014,completed,2022-09-06,2023-07-05,303,302.0,-1.0,31339800,31543757.0,4.0,4.0,5.0,4.3
prj_013,cli_007,in_progress,2023-07-27,,387,,,21106995,,,,,
prj_014,cli_010,completed,2021-01-14,2022-03-17,461,427.0,-34.0,59817472,58192036.0,5.0,4.0,5.0,4.7
prj_015,cli_005,in_progress,2022-09-08,,704,,,74110140,,,,,
prj_016,cli_007,completed,2023-09-09,2025-01-21,440,500.0,60.0,53017600,53451545.0,4.0,4.0,5.0,4.3
prj_017,cli_008,completed,2022-10-30,2023-12-25,456,421.0,-35.0,27095640,25298292.0,5.0,5.0,4.0,4.7
prj_018,cli_006,in_progress,2024-10-28,,500,,,24923136,,,,,
prj_019,cli_015,completed,2024-12-21,2025-07-28,233,219.0,-14.0,18246600,18260418.0,5.0,2.0,5.0,4.0
prj_020,cli_010,completed,2022-05-11,2023-07-10,424,425.0,1.0,46018560,42745527.0,5.0,5.0,5.0,5.0
prj_021,cli_013,completed,2023-12-31,2025-04-28,489,484.0,-5.0,31414890,31546710.0,5.0,5.0,5.0,5.0
prj_022,cli_003,completed,2021-08-12,2022-09-19,423,403.0,-20.0,24470900,24167128.0,4.0,4.0,4.0,4.0
prj_023,cli_014,completed,2021-08-05,2023-02-04,545,548.0,3.0,56180880,54691717.0,4.0,4.0,4.0,4.0
prj_024,cli_017,completed,2021-11-05,2023-10-21,716,715.0,-1.0,40474560,41707646.0,5.0,1.0,4.0,3.3
prj_025,cli_005,completed,2022-12-15,2023-08-29,259,257.0,-2.0,17041365,16390317.0,5.0,1.0,5.0,3.7
prj_026,cli_015,in_progress,2022-10-16,,377,,,29139264,,,,,
prj_027,cli_002,completed,2024-12-26,2025-07-07,209,193.0,-16.0,7375104,7608088.0,4.0,2.0,5.0,3.7
prj_028,cli_006,completed,2024-02-05,2025-03-13,400,402.0,2.0,13147680,13354502.0,4.0,2.0,3.0,3.0
prj_029,cli_014,completed,2023-03-22,2024-03-01,367,345.0,-22.0,62235488,61679375.0,5.0,4.0,4.0,4.3
prj_030,cli_007,in_progress,2022-02-26,,431,,,57891708,,,,,
prj_031,cli_003,in_progress,2024-03-28,,386,,,59451392,,,,,
prj_032,cli_006,completed,2023-01-20,2024-04-06,443,442.0,-1.0,29303680,28815064.0,5.0,3.0,5.0,4.3
prj_033,cli_013,completed,2024-06-05,2026-06-15,740,740.0,0.0,149814000,166553657.0,5.0,3.0,5.0,4.3
prj_034,cli_003,completed,2024-10-08,2025-11-05,394,393.0,-1.0,20905920,19692652.0,4.0,2.0,5.0,3.7
prj_035,cli_013,completed,2023-05-07,2024-04-04,332,333.0,1.0,13514886,13222970.0,4.0,5.0,5.0,4.7
prj_036,cli_006,in_progress,2024-02-11,,222,,,21943872,,,,,
prj_037,cli_010,completed,2021-10-15,2022-11-13,407,394.0,-13.0,24000600,24821925.0,5.0,4.0,4.0,4.3
prj_038,cli_007,on_hold,2023-02-26,,323,,,31227792,,,,,
prj_039,cli_016,in_progress,2023-04-18,,535,,,37199232,,,,,
prj_040,cli_014,completed,2024-12-25,2026-04-16,473,477.0,4.0,68782080,69848594.0,4.0,2.0,4.0,3.3
prj_041,cli_002,on_hold,2022-07-17,,655,,,73801530,,,,,
prj_042,cli_010,completed,2021-12-11,2023-02-20,477,436.0,-41.0,32654512,32286354.0,4.0,3.0,5.0,4.0
prj_043,cli_012,completed,2024-01-16,2024-12-07,370,326.0,-44.0,59325315,61625540.0,4.0,1.0,5.0,3.3
prj_044,cli_008,completed,2022-09-02,2023-09-01,368,364.0,-4.0,51209389,52429957.0,5.0,1.0,4.0,3.3
prj_045,cli_007,in_progress,2024-04-19,,536,,,19316610,,,,,
prj_046,cli_014,completed,2021-12-06,2023-04-14,517,494.0,-23.0,15222438,15045993.0,4.0,5.0,4.0,4.3
prj_047,cli_006,on_hold,2022-10-25,,900,,,66444624,,,,,
prj_048,cli_010,completed,2024-03-18,2024-11-26,248,253.0,5.0,15177456,14210206.0,4.0,4.0,3.0,3.7
prj_049,cli_009,completed,2024-09-05,2025-11-22,392,443.0,51.0,63788130,64130505.0,3.0,2.0,4.0,3.0
prj_050,cli_013,completed,2023-09-30,2024-09-24,396,360.0,-36.0,42219534,41131916.0,5.0,1.0,5.0,3.7
